id,stock_id,rank_projected,rank_final,fantasy_points_scored,ipo_price,payout_final
estk_6058164c1d1235a6049fe8ca7bf97ec4,stk_049fe8ca7bf97ec4f11727a7d6462147,63,50,23,2.76,1.83
estk_6058164c1d1235a60d014b549f9719c0,stk_0d014b549f9719c0b8a32d32eed22320,58,10,43,2.35,10.5
estk_6058164c1d1235a612d0c14aa5dfd232,stk_12d0c14aa5dfd232a0298a737f5a59fc,2,26,32,15.27,5
estk_6058164c1d1235a612eea72edeb9eff3,stk_12eea72edeb9eff384f34270977fbdc8,68,45,24.75,2.46,2.3
estk_6058164c1d1235a614affbe5fe4c8278,stk_14affbe5fe4c8278f9dd5f66f4649be7,65,68,14,3.49,1
estk_6058164c1d1235a61fa4838d30549dd8,stk_1fa4838d30549dd8c70eb5d3e8bc7913,51,58,20.25,2.45,1.16
estk_6058164c1d1235a61fcc2ca79b66ea18,stk_1fcc2ca79b66ea18e620d2eaab2233f0,49,27,32,3.51,4.84
estk_6058164c1d1235a6233a24e71677893c,stk_233a24e71677893cecac349d5e5ef77d,45,70,12.75,3.72,1
estk_6058164c1d1235a629f4c1657b835f2a,stk_29f4c1657b835f2a12b8d86487387e58,59,75,2.75,2.35,1
estk_6058164c1d1235a62c32422174fc1a5a,stk_2c32422174fc1a5a264857a2f6078612,54,18,37,4,7
estk_6058164c1d1235a62c3266def21aaa4b,stk_2c3266def21aaa4bda3b4e2c77f34fce,43,37,28.5,3.06,3.25
estk_6058164c1d1235a62d5eb9139e57478c,stk_2d5eb9139e57478cbc9808bd88c32da0,6,43,26.75,7.96,2.5
estk_6058164c1d1235a63691c43454c522a8,stk_3691c43454c522a8a0df48c557ff6b85,56,66,16.25,3.15,1
estk_6058164c1d1235a63c7eaf589d0dd271,stk_3c7eaf589d0dd271990a183d4d233b76,71,79,-1.5,2.44,1
estk_6058164c1d1235a63f989864d2e21f67,stk_3f989864d2e21f67d4b40fcc42526503,61,73,8.25,2.99,1
estk_6058164c1d1235a64b8c495d9fa8db90,stk_4b8c495d9fa8db90c0b6dd48d1b5d785,22,16,37.5,5.8,7.5
estk_6058164c1d1235a64d6d905196dd90c8,stk_4d6d905196dd90c87f3a61c09353d8b4,62,74,8,2.45,1
estk_6058164c1d1235a64e6934614546f665,stk_4e6934614546f665f922b42e238d411c,35,35,30.25,5,3.5
estk_6058164c1d1235a653bced79c5450658,stk_53bced79c545065841bc86995bb8dce0,32,8,43.75,4.86,11.5
estk_6058164c1d1235a655086ea38656fe99,stk_55086ea38656fe999b9ecfe8d4aa16dd,47,46,24.25,3.5,2.2
estk_6058164c1d1235a658d79b9f2662f624,stk_58d79b9f2662f624992d693bff1bfca4,50,49,23,3.01,1.92
estk_6058164c1d1235a65fda36100c32cf2f,stk_5fda36100c32cf2fff26276b06d24863,52,24,33.75,3.66,5.5
estk_6058164c1d1235a65fda3611c9b566a1,stk_5fda3611c9b566a16549366d77ef717c,79,61,19.5,2.85,1
estk_6058164c1d1235a65fda3613013e477c,stk_5fda3613013e477cc3e721d720f05251,72,71,12,2.35,1
estk_6058164c1d1235a65fda36138b3d8089,stk_5fda36138b3d8089248164700733b78d,38,20,36.25,5,6.5
estk_6058164c1d1235a65fda361392932884,stk_5fda36139293288465a23a8265df6640,74,51,22.75,2.56,1.75
estk_6058164c1d1235a663a58b55849249a4,stk_63a58b55849249a4da31c5159c277902,69,23,34,2.66,5.75
