id,stock_id,event_id,quantity,filled_quantity,cost_basis,side,phase,user_id,eventstock_id,order_time
ord_605bf2a5f19999a11ed8d06d55f090f5,stk_14affbe5fe4c8278f9dd5f66f4649be7,evt_6058164c1d1235a6ea370ba3779113c1,10,2,2.82,SELL,LIVE,usr_5fd392839c2bd1b9e4225211a3c59d26,estk_6058164c1d1235a614affbe5fe4c8278,3/24/21 22:17
ord_605bf17a8a6f2a627aa3c390cdbad0a6,stk_5fda3613013e477cc3e721d720f05251,evt_6058164c1d1235a6ea370ba3779113c1,5,4,4.88,SELL,LIVE,usr_60421df966e9a2ca84a16dd484473d87,estk_6058164c1d1235a65fda3613013e477c,3/24/21 22:12
ord_605c05268fff6cef1c9e79cdb8625728,stk_3691c43454c522a8a0df48c557ff6b85,evt_6058164c1d1235a6ea370ba3779113c1,4,1,4.25,SELL,LIVE,usr_0d9214e1b9ce3b1c0bc96bae3f642017,estk_6058164c1d1235a63691c43454c522a8,3/24/21 23:36
ord_605bfc558b782fd04709b7fea5eae45e,stk_d69d46129a5ecc849c083c99e86ebf65,evt_6058164c1d1235a6ea370ba3779113c1,4,2,10,SELL,LIVE,usr_6040db921e864006ccde54849402e5c2,estk_6058164c1d1235a6d69d46129a5ecc84,3/24/21 22:58
ord_605bdde10991a00592f131e03116b572,stk_53bced79c545065841bc86995bb8dce0,evt_6058164c1d1235a6ea370ba3779113c1,4,1,12.5,SELL,LIVE,usr_60462a4f968a889fa09155d81b78c69f,estk_6058164c1d1235a653bced79c5450658,3/24/21 20:48
ord_605bda2cd3ecea20e30ff557b0dabcf1,stk_5fda3611c9b566a16549366d77ef717c,evt_6058164c1d1235a6ea370ba3779113c1,3,1,3,SELL,LIVE,usr_3b988115b15fa25a00dd38d65e565d79,estk_6058164c1d1235a65fda3611c9b566a1,3/24/21 20:32
ord_605bd7dc2583810df1ed8053095fadf4,stk_29f4c1657b835f2a12b8d86487387e58,evt_6058164c1d1235a6ea370ba3779113c1,9,5,6.95,SELL,LIVE,usr_60497441b90d2e5b336b26604d9ac855,estk_6058164c1d1235a629f4c1657b835f2a,3/24/21 20:22
ord_605bebf499514de24525e920c15c613c,stk_eb9f01dc0b42e354366fd5be823fc05d,evt_6058164c1d1235a6ea370ba3779113c1,2,1,6.05,SELL,LIVE,usr_60421df966e9a2ca84a16dd484473d87,estk_6058164c1d1235a6eb9f01dc0b42e354,3/24/21 21:48
ord_605bea003ae4c3f164c2e3f69ae55a00,stk_6e0fdc100bc85f36982958c63fa49d4d,evt_6058164c1d1235a6ea370ba3779113c1,3,1,5.25,SELL,LIVE,usr_60462a4f968a889fa09155d81b78c69f,estk_6058164c1d1235a66e0fdc100bc85f36,3/24/21 21:40
ord_605becd7773868cfe60aa2b6edff69b6,stk_c8575d48d76bc1fc63dd1b9b84f50fbd,evt_6058164c1d1235a6ea370ba3779113c1,10,6,8.58,SELL,LIVE,usr_60421df966e9a2ca84a16dd484473d87,estk_6058164c1d1235a6c8575d48d76bc1fc,3/24/21 21:52
